respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.09805641779766926,0.2581510085814611
26708,0.09630967989638647,0.15885601803090374
26710,0.5110011470978912,0.9403861826854828
26711,0.27335887601743836,0.5254096541517651
26712,0.3849642943552286,0.8829177355981825
26714,0.06877810352995836,0.08470438928541425
26716,0.14765420493480244,0.7662840739560739
26718,0.34773966078405205,0.5311227286631245
26719,0.19737590194564877,0.8659829372321985
26721,0.4057864230234475,0.6333428975781068
26722,0.09767480819158393,0.10456041646592154
26723,0.6844911472330812,0.6840456786450108
26727,0.05523538278441958,0.38913834328288466
26728,0.350324418413525,0.50736449295974
26731,0.0619452383926129,0.4416784209280809
26732,0.49698463119980246,0.3920499495979603
26733,0.7774288510665918,0.8767828767567303
26734,0.7101855006807725,0.4314042530964761
26736,0.1509957156764541,0.22830006298722935
26737,0.1574232323435858,0.1757159815403659
26738,0.7057035288838168,0.8782530511844664
26739,0.16244342024339584,0.21083825301777387
26740,0.1340196347757701,0.10884274849716345
26742,0.17714811393169666,0.4146717043672884
26743,0.13236808945251174,0.4862454614130397
26749,0.15384250620256404,0.5953952655642831
26751,0.22989952709032685,0.5410287555260218
26752,0.09479783596737351,0.047276176846840746
26753,0.2803113560565025,0.41736856817003687
26754,0.25769809938489086,0.46932740066777856
26755,0.37169498394952105,0.48523388551596575
26756,0.1785776705004827,0.13418187677471974
26761,0.18750887787299894,0.6070159874294399
26762,0.1582455719927646,0.8424739365569899
26763,0.6912297035136452,0.9557334875114017
26764,0.920996979855404,0.9527365942623327
26766,0.19998179945240976,0.16023565919687713
26767,0.776250540156465,0.7956286249515967
26772,0.0923553624616688,0.43792000927072083
26773,0.04134912091099521,0.3396312458570784
26777,0.29703051749126763,0.8868903104712429
26778,0.22631937791958118,0.2527062787027262
26779,0.18959383603339244,0.5334494744687689
26782,0.09876760397994386,0.47943617077737355
26789,0.16528299362539506,0.36434848951552784
26791,0.10145810887987948,0.11755323756779787
26793,0.1648467260793633,0.8271911911066996
26795,0.10361505696477866,0.9338952050621956
26796,0.19460145068800577,0.13417754313429284
26797,0.43559628759439417,0.6402502061419462
26798,0.30138471033708847,0.1388860447335782
26800,0.09107903120716414,0.9033828328468352
26802,0.20677393680908135,0.16836070497117786
26804,0.13535948475142126,0.21646228662768996
26805,0.05695273081651403,0.35732410778094353
26809,0.2439154094653202,0.1654417296325283
26810,0.13467983302761297,0.24074152129487075
26812,0.10941883909298705,0.6138453241340619
26813,0.2959827829835773,0.2192151272866408
26818,0.17333650666960435,0.3912298314154711
26823,0.49698807423160224,0.6194600240041838
26825,0.4084318919799956,0.8528972520841588
26827,0.14862026013409477,0.26135909427062054
26829,0.6210658615149185,0.8564735101863066
26833,0.0402350831693034,0.711769776882546
26836,0.14018150094340787,0.46056908807669783
26837,0.40599243802041957,0.1736592252157798
26838,0.10258128394440318,0.34388955546453026
26840,0.20395587145579297,0.35111255217941195
26842,0.13771782685757492,0.24892827696357397
26847,0.31363753955778956,0.09659528979435415
26849,0.49911553523053326,0.6962247469094299
26850,0.8014818958199781,0.6881322777564635
26851,0.19274220647036816,0.14640414123582798
26857,0.659025169919996,0.1210334374297245
26865,0.16891597450489343,0.10520477749862835
26867,0.21243910615294112,0.12212777384717582
26868,0.4180255186854859,0.6537966176036288
26872,0.17042738764164586,0.27671688097137254
26877,0.052854226450303965,0.06772507954960372
26878,0.4547184915402731,0.48731496057080453
26880,0.4288613992951992,0.25368472039973444
26882,0.12558980522711718,0.1692207842887157
26883,0.0969843719578337,0.4181586235925872
26887,0.6792544541693556,0.8607967476573606
26888,0.8339026072564422,0.9314549073520033
26891,0.23009799030626676,0.28265262741944513
26893,0.05362442313546527,0.20035111158115387
26894,0.20358677785783744,0.3383823865787533
26896,0.14203025712471645,0.14498597584437056
26897,0.20064192930980274,0.6620800733157424
26900,0.0998335724733367,0.24858503134842808
26901,0.05611058894654371,0.5047874783920662
26903,0.5130082666462916,0.08052435145686392
26904,0.15357171862887273,0.5063017449223638
26907,0.10555397976758853,0.6506156451252231
26909,0.4693057943293721,0.5552236438466709
26911,0.11549288768041287,0.1387615252694422
26912,0.48259699175955784,0.9501687479269328
26918,0.47303719900517255,0.8114319308403519
26921,0.1401002920244028,0.7209170338545748
26924,0.5583533544077588,0.7671327045188019
